COUNTY OF RESIDENCE:,TOTAL,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ALAMANCE,"1,960",167,164,173,157,167,148,157,172,174,137,154,190
ALEXANDER,335,25,30,19,25,28,22,33,25,39,29,33,27
ALLEGHANY,105,4,11,6,3,6,13,14,9,18,8,6,7
ANSON,269,14,29,30,15,27,15,31,27,19,23,21,18
ASHE,200,14,20,12,11,23,11,18,19,12,25,17,18
AVERY,139,14,13,12,7,12,11,9,11,10,10,17,13
BEAUFORT,428,41,30,21,31,31,39,38,49,27,34,51,36
BERTIE,149,18,11,12,6,12,18,8,13,12,8,16,15
BLADEN,353,23,28,27,25,38,30,29,30,34,26,32,31
BRUNSWICK,"1,149",76,104,83,91,87,84,98,121,107,103,110,85
BUNCOMBE,"2,399",219,188,184,207,207,194,217,180,191,197,194,221
BURKE,849,66,65,84,60,68,75,67,73,73,61,87,70
CABARRUS,"2,747",221,209,224,200,205,206,255,280,245,238,230,234
CALDWELL,789,76,49,74,58,58,52,73,74,65,70,63,77
CAMDEN,87,4,10,11,6,9,7,9,8,8,3,6,6
CARTERET,490,39,41,54,46,35,40,39,51,40,42,32,31
CASWELL,202,16,14,12,15,12,19,15,23,27,20,11,18
CATAWBA,"1,651",150,117,121,131,134,125,150,154,157,139,117,156
CHATHAM,713,74,57,69,53,50,63,57,53,46,60,64,67
CHEROKEE,240,17,21,20,21,14,17,21,19,20,21,27,22
CHOWAN,127,15,13,11,10,9,10,12,9,3,7,16,12
CLAY,76,6,8,4,8,10,5,4,6,5,3,7,10
CLEVELAND,"1,100",99,81,78,99,88,98,88,105,88,84,89,103
COLUMBUS,596,43,47,34,39,46,54,61,59,63,41,47,62
CRAVEN,"1,293",99,103,110,94,112,94,124,116,107,113,104,117
CUMBERLAND,"5,282",496,383,465,397,372,482,443,500,498,433,396,417
CURRITUCK,338,25,24,33,28,29,28,34,28,31,29,25,24
DARE,284,29,25,22,18,23,17,27,18,19,23,31,32
DAVIDSON,"1,752",136,109,150,133,161,140,158,152,138,147,151,177
DAVIE,420,32,30,28,38,27,40,41,41,40,36,38,29
DUPLIN,715,67,39,57,59,59,48,64,65,60,52,75,70
DURHAM,"4,082",339,297,348,372,337,302,319,381,385,345,374,283
EDGECOMBE,571,43,47,52,42,51,38,51,54,51,53,39,50
FORSYTH,"4,554",370,340,420,386,378,338,417,417,358,368,369,393
FRANKLIN,881,72,85,71,69,57,67,89,81,68,68,81,73
GASTON,"2,778",249,206,228,198,214,209,238,264,220,263,238,251
GATES,94,7,12,4,12,4,6,6,12,7,11,5,8
GRAHAM,93,4,3,7,12,8,6,15,4,12,5,4,13
GRANVILLE,626,61,46,54,43,46,44,58,57,59,51,54,53
GREENE,202,18,26,20,20,14,13,15,15,23,13,10,15
GUILFORD,"5,883",473,422,516,489,459,472,512,532,495,482,484,547
HALIFAX,509,31,40,43,42,53,38,49,44,45,32,48,44
HARNETT,"1,829",152,141,181,153,134,158,173,158,157,132,136,154
HAYWOOD,522,50,38,47,43,33,43,47,37,44,49,44,47
HENDERSON,"1,050",72,74,91,81,79,88,92,125,84,86,90,88
HERTFORD,198,17,13,29,11,12,14,17,19,15,15,15,21
HOKE,899,82,71,77,51,79,73,76,94,82,70,65,79
HYDE,32,5,2,4,3,1,4,2,0,0,3,3,5
IREDELL,"2,097",150,157,188,196,153,188,177,195,184,160,170,179
JACKSON,367,30,27,42,21,43,33,28,29,25,32,34,23
JOHNSTON,"2,860",240,218,230,218,253,223,235,250,264,231,207,291
JONES,105,10,8,8,13,11,11,4,9,6,5,10,10
LEE,794,65,74,69,51,72,69,68,58,79,59,70,60
LENOIR,653,50,37,43,49,48,59,74,69,56,52,57,59
LINCOLN,954,71,69,72,86,80,79,93,83,81,75,83,82
MCDOWELL,382,23,26,19,39,36,30,38,41,40,26,27,37
MACON,340,34,34,26,24,29,24,27,33,22,26,35,26
MADISON,183,21,13,16,14,14,12,10,19,15,10,18,21
MARTIN,222,17,15,14,13,22,26,19,22,21,10,20,23
MECKLENBURG,15038,"1,200","1,204","1,233","1,112","1,244","1,275","1,286","1,349","1,334","1,244","1,288","1,269"
MITCHELL,103,6,11,12,15,10,1,9,7,7,7,8,10
MONTGOMERY,264,20,24,19,22,18,27,19,23,28,18,25,21
MOORE,"1,179",117,81,84,89,100,102,103,111,100,101,90,101
NASH,"1,103",97,76,100,70,100,97,105,114,98,73,82,91
NEW HANOVER,"2,257",207,165,172,158,178,197,207,204,181,186,211,191
NORTHAMPTON,165,11,21,14,14,12,9,14,12,13,12,18,15
ONSLOW,"3,927",341,304,326,314,335,325,352,373,344,302,328,283
ORANGE,"1,181",90,75,111,103,98,84,109,127,86,101,99,98
PAMLICO,87,7,2,10,13,5,4,8,15,6,7,8,2
PASQUOTANK,459,39,32,36,38,29,38,38,57,43,40,37,32
PENDER,681,41,38,68,43,50,57,67,79,61,45,60,72
PERQUIMANS,110,9,6,7,8,10,11,7,12,9,11,10,10
PERSON,385,36,34,37,28,32,34,29,32,29,31,33,30
PITT,"2,039",173,150,173,195,135,172,170,177,179,159,194,162
POLK,121,10,6,10,5,12,12,15,5,16,12,6,12
RANDOLPH,"1,589",127,123,135,111,116,103,159,168,136,138,124,149
RICHMOND,540,47,49,33,40,40,40,39,52,62,48,38,52
ROBESON,"1,902",160,138,161,143,155,150,165,162,178,160,159,171
ROCKINGHAM,976,88,71,83,80,66,83,92,79,77,80,90,87
ROWAN,"1,626",130,129,133,117,134,128,138,175,129,146,147,120
RUTHERFORD,632,52,55,51,49,40,53,60,66,56,49,47,54
SAMPSON,825,71,63,66,55,60,59,80,82,76,63,75,75
SCOTLAND,402,32,37,33,34,25,34,29,45,38,37,24,34
STANLY,710,39,47,81,44,54,61,64,66,76,59,57,62
