COUNTY OF RESIDENCE:,TOTAL,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
STOKES,427,28,34,35,35,38,39,34,39,33,33,39,40
SURRY,763,60,52,60,64,66,60,66,59,74,79,67,56
SWAIN,150,15,9,14,14,12,11,14,15,14,9,13,10
TRANSYLVANIA,229,20,20,24,13,17,14,21,21,19,25,21,14
TYRRELL,44,3,3,2,4,2,5,6,1,6,5,3,4
UNION,"2,582",206,201,215,204,194,201,203,230,235,202,242,249
VANCE,509,41,36,48,39,42,39,42,47,40,40,44,51
WAKE,"13,190","1,026",986,"1,115","1,091","1,018","1,080","1,134","1,226","1,096","1,113","1,147","1,158"
WARREN,188,10,14,11,20,10,14,13,25,13,20,19,19
WASHINGTON,106,4,9,10,10,8,8,7,7,11,10,12,10
WATAUGA,293,33,16,32,27,26,26,23,25,22,23,22,18
WAYNE,"1,601",143,120,128,111,134,115,153,146,139,129,145,138
WILKES,693,51,52,63,56,54,54,68,64,56,49,66,60
WILSON,899,84,66,67,73,62,70,82,91,69,77,70,88
YADKIN,412,40,24,33,31,29,33,41,42,38,30,36,35
YANCEY,173,5,13,15,14,19,17,10,23,16,14,12,15
