COUNTY OF DEATH:,TOTAL,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ALAMANCE,"1,869",160,152,172,132,170,138,147,165,137,165,159,172
ALEXANDER,272,13,14,20,19,15,18,28,15,28,26,29,47
ALLEGHANY,124,13,10,13,8,12,10,8,10,9,10,10,11
ANSON,203,20,11,12,10,19,11,20,26,17,12,18,27
ASHE,311,22,24,23,20,32,20,25,20,32,24,30,39
AVERY,185,14,26,17,11,17,11,15,21,12,16,16,9
BEAUFORT,536,45,38,40,40,40,32,42,45,62,51,45,56
BERTIE,206,14,17,19,16,14,19,20,14,23,18,18,14
BLADEN,319,22,23,24,33,21,25,29,27,28,31,24,32
BRUNSWICK,"1,331",97,82,111,99,116,111,140,130,93,131,112,109
BUNCOMBE,"4,106",362,314,370,316,309,279,335,336,316,348,381,440
BURKE,"1,114",78,84,81,87,95,84,81,108,99,95,87,135
CABARRUS,"2,168",168,167,156,182,171,170,190,180,182,175,188,239
CALDWELL,995,100,71,71,85,76,68,65,69,97,82,85,126
CAMDEN,58,5,3,9,1,5,5,7,3,7,4,5,4
CARTERET,914,82,63,84,59,76,69,96,82,73,85,70,75
CASWELL,199,15,19,13,23,18,13,16,15,14,18,16,19
CATAWBA,"2,240",171,167,172,146,172,144,194,173,204,178,232,287
CHATHAM,875,58,48,90,86,77,87,82,63,72,69,79,64
CHEROKEE,332,26,27,31,24,27,28,27,30,33,26,23,30
CHOWAN,211,15,13,10,17,15,14,14,17,21,36,21,18
CLAY,104,8,9,9,13,10,9,6,6,11,6,9,8
CLEVELAND,"1,393",115,96,114,95,110,94,124,124,108,143,131,139
COLUMBUS,690,59,56,72,59,60,60,52,56,53,46,63,54
CRAVEN,"1,359",119,110,111,126,95,77,100,125,113,147,111,125
CUMBERLAND,"3,118",240,226,263,262,304,225,255,269,235,232,287,320
CURRITUCK,201,17,12,15,14,16,19,17,18,14,12,17,30
DARE,315,23,19,24,21,27,22,36,24,31,31,27,30
DAVIDSON,"1,612",120,136,117,132,126,118,136,142,137,131,140,177
DAVIE,290,20,27,30,25,23,24,20,24,26,32,21,18
DUPLIN,487,34,34,33,39,59,47,33,42,44,32,43,47
DURHAM,"3,904",334,319,302,345,334,332,304,288,303,317,344,382
EDGECOMBE,648,54,44,61,57,42,49,45,58,79,58,51,50
FORSYTH,"5,925",490,460,484,438,460,421,470,514,526,487,536,639
FRANKLIN,439,33,31,28,45,23,31,38,48,37,32,49,44
GASTON,"2,659",212,206,205,196,230,189,237,219,219,230,246,270
GATES,86,7,5,7,11,7,5,5,8,6,10,7,8
GRAHAM,89,7,9,9,8,8,6,7,6,11,6,3,9
GRANVILLE,519,40,38,32,32,45,40,36,65,43,48,56,44
GREENE,146,7,18,8,18,11,8,15,13,11,10,10,17
GUILFORD,"6,147",466,478,467,502,527,499,464,504,495,520,567,658
HALIFAX,624,49,37,46,54,36,48,63,64,46,52,61,68
HARNETT,985,78,62,96,83,80,79,66,83,88,80,94,96
HAYWOOD,823,69,65,64,59,54,68,68,81,50,68,84,93
HENDERSON,"1,617",129,113,128,166,138,110,135,125,124,137,140,172
HERTFORD,359,13,23,29,29,27,24,36,27,38,26,48,39
HOKE,293,23,20,28,17,24,33,24,21,28,20,23,32
HYDE,30,3,3,3,4,3,2,1,6,0,1,1,3
IREDELL,"1,813",138,129,147,164,136,150,141,133,162,166,159,188
