COUNTY OF DEATH:,TOTAL,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
JACKSON,428,35,33,30,31,37,25,38,38,47,30,28,56
JOHNSTON,"1,507",126,103,121,122,120,104,134,117,129,134,140,157
JONES,96,12,7,6,10,7,5,9,8,10,10,9,3
LEE,611,50,36,49,39,44,52,58,46,50,47,64,76
LENOIR,721,55,61,51,55,53,52,54,69,57,51,72,91
LINCOLN,764,63,52,65,71,64,62,60,65,68,62,58,74
MCDOWELL,376,25,24,42,21,39,24,34,42,21,42,26,36
MACON,405,30,29,52,43,20,19,31,36,36,27,33,49
MADISON,184,12,8,19,18,21,9,12,13,18,20,20,14
MARTIN,247,20,15,16,20,20,23,20,32,13,18,21,29
MECKLENBURG,9319,731,693,756,714,740,749,816,802,759,791,801,967
MITCHELL,240,17,19,15,19,21,11,14,15,20,16,36,37
MONTGOMERY,239,13,19,21,27,22,20,18,19,23,12,26,19
MOORE,"1,763",133,137,137,124,140,138,133,151,143,158,165,204
NASH,"1,203",94,79,87,83,102,80,87,107,122,128,127,107
NEW HANOVER,"3,431",286,270,260,253,270,266,278,276,294,305,330,343
NORTHAMPTON,205,22,11,19,11,19,17,16,21,13,17,19,20
ONSLOW,"1,056",73,74,73,89,84,89,87,95,84,89,99,120
ORANGE,"1,676",151,125,149,120,134,127,138,155,150,118,150,159
PAMLICO,113,12,9,5,10,10,6,13,11,11,10,6,10
PASQUOTANK,601,41,42,55,47,60,44,48,39,58,49,40,78
PENDER,386,16,30,33,38,27,28,29,28,37,42,37,41
PERQUIMANS,129,11,12,10,10,12,6,12,10,12,8,14,12
PERSON,370,29,30,26,25,22,27,27,40,34,37,29,44
PITT,"2,959",264,235,245,232,237,207,225,242,257,260,251,304
POLK,191,14,21,11,17,11,11,16,21,17,13,18,21
RANDOLPH,"1,361",109,114,109,107,132,109,92,91,102,127,120,149
RICHMOND,541,37,27,44,37,47,38,47,49,38,60,60,57
ROBESON,"1,414",98,94,104,117,145,109,118,124,129,128,107,141
ROCKINGHAM,"1,204",115,93,96,91,105,78,87,90,98,96,111,144
ROWAN,"1,827",138,133,148,160,142,141,130,165,181,152,160,177
RUTHERFORD,927,67,70,64,62,72,64,78,78,71,111,75,115
SAMPSON,506,41,42,37,36,35,43,47,42,44,38,49,52
SCOTLAND,647,53,43,53,40,47,41,55,56,54,75,66,64
STANLY,649,50,60,53,73,50,51,45,71,52,43,43,58
STOKES,439,26,32,36,41,40,32,46,36,35,35,35,45
SURRY,"1,174",99,107,99,78,79,81,94,99,75,115,103,145
SWAIN,198,17,10,17,13,18,14,16,20,17,24,17,15
TRANSYLVANIA,350,31,29,25,30,25,28,24,27,27,42,29,33
TYRRELL,27,3,3,1,6,2,2,0,3,1,1,3,2
UNION,"1,567",99,112,122,129,117,125,143,129,117,149,145,180
VANCE,615,42,43,44,61,68,39,44,57,38,47,55,77
WAKE,"7,543",571,585,588,575,570,594,677,664,622,621,633,843
WARREN,189,13,15,13,19,14,18,17,18,16,5,21,20
WASHINGTON,150,11,12,13,11,14,10,9,13,18,16,8,15
WATAUGA,460,30,47,28,20,35,39,31,33,52,44,51,50
WAYNE,"1,745",143,128,149,152,159,133,149,151,131,148,150,152
WILKES,757,61,51,52,65,64,61,49,71,61,64,68,90
WILSON,961,81,81,76,87,90,66,92,65,76,74,79,94
YADKIN,400,36,39,30,36,30,26,37,29,33,32,29,43
YANCEY,171,13,15,20,12,16,11,13,11,15,13,15,17
